"#name"|"Korean Law Dic" 
"협박죄 脅迫罪"|"공포심을 일으키게 할 목적으로, 상대방 또는 그 친족의 생명, 신체, 자유, 명예에 해악을 가할 것을 통고하는 범죄(형283)이다. [죽여버린다]고 말하면 생명에 대한 해악의 통고가 되고, [집에 불을 질러버린다]고 말하면 재산에 대한 해악의 통고가 된다. 통고의 방법은 구두에 의하건 서면에 의하건 불문하며 또 입밖에 내지 않더라도 팔을 휘두르면서 위협을 보이기만 해도 통고가 된다. 실제로 위해를 가할 뜻이 없었다 하더라도 협박죄는 성립한다. 통고내용은 보통 일반 사람이 들어서 위해의 발생을 예감하고 공포심을 갖게 할 정도면 된다. 지구의 종말이 다가왔다든가, 죽음의 그림자가 덮였다든가 하는 말은 [경고]이지 협박은 아니다. 또 통고를 받은 사람이 실제로 놀라지 않았다 하더라도 협박죄의 성립에는 영향이 없다. 본죄의 법정형은 3년 이하의 징역, 500만원 이하의 벌금, 구류 또는 과료에 처하도록 되어 있고 피해자의 명시한 의사에 반하여 논할 수 없다(반의사불벌죄)."
"협의 協議"|"이 세 용어는 어느 것이나 법령상 흔히 사용되고 있는 용어이다. 자의로 말한다면 [협의]는 타인과 의논하는 것이며 [동의]는 타인의 행위에 찬성의 의사표시를 하는 것이며 [승인]도 똑같이 타인의 행위에 대하여 긍정적인 의사표시를 하는 것이다. 용법상으로 말한다면 협의는 주로 대등자간에 사용되고 승인은 하위에 있는 자가 상위에 있는 자의 의사를 구할 경우에 주로 사용된다. 동의는 대등자간의 경우에도 또한 하위에서 상위의 경우에도 사용되지만 상위로부터 하위에 있는 자에게 [동의를 한다]는 취지로도 사용된다. 이 세 용어는 공법 또는 사법의 분야를 불문하고 법령상 널리 사용되고 있는데 공법의 분야에서는 특히 국가·지방공공단체 등의 기관이 일정한 (행정)행위를 할 때 이의 권한이 있는 다른 기관과 의논하고 찬성을 얻은 다음에 행하도록 되어 있는 것이다. 이런 경우의 [동의]와 [승인]은 상대방의 긍정적인 의사표시가 있어야 한다는 것이 명확하지만 여기서 문제가 되는 것은 [협의]의 경우이다. 여기서 어떤 행정기관이 일정한 행정처분을 하는 데 있어서 미리 다른 권한이 있는 관계행정기관과 협의할 것을 규정하고 있는 경우 다만, 의논을 하기만 하면 상대방의 동의의 여부에 관계없이 협의를 한다는 요건이 만족되는가 아니면 양자의 의사가 합치되지 않으면 협의를 하였다고 할 수 없는가 하는 것이 문제가 된다. [협의]라는 용어 자체의 자의로 말한다면 반드시 의논이 성립할 것을 필요로 한다는 의미는 포함되지 않고 있는 것 같지만 법령상의 용법으로 말한다면 적어도 국내법상으로는 특히 앞서의 예와 같은 행정기관간의 권한분배로 인한 협의의 경우에는 원칙으로 협의가 성립되었다는 것까지를 포함한 뜻으로 사용되고 있는 것이다."
"협의상 이혼  協議上 離婚"|"부부의 합의에 의하여 하는 이혼(민834). 어떤 특별한 사유가 있음을 요하지 않는다. 이 점은 재판상의 이혼만을 인정하고 협의상의 이혼을 인정하지 않는 구미 제국의 대다수의 입법례에 비하여 현저한 특색을 이룬다. 이혼은 당사자 쌍방이 가정법원의 확인을 받아 호적법에 규정한 바에 따라 신고를 함으로써 효력을 발생한다(민836). 이혼 후의 자녀의 양육에 관한 사항은 당사자간의 협의에 의하여 정하고, 협의할 수 없는 때에는 당사자의 청구에 의하여 가정법원이 적당한 처분을 할 수 있다(민837⑤). 사기·강박으로 인하여 이혼의 의사표시를 한 자는 그 취소를 가정법원에 청구할 수 있다(민838·839). 그리고 무능력자는 부모 또는 후견인의 동의를, 부모 또는 후견인이 없거나 동의할 수 없는 때에는 친족회의 동의를 얻어 이혼할 수 있다(민835)."
"협의상 파양 協議上 罷養"|"입양의 당사자가 협의에 의하여 하는 파양(민898①). 양자가 15세 미만인 경우에는 양자에 갈음하여 입양을 승낙한 부모와의 협의에 의하여 한다(민899). 미성년자 또는 금치산자는 부모 또는 후견인의 동의를 얻어 협의에 의하여 파양할 수 있다(민900·902). 협의상의 파양은 호적상의 신고에 의하여 효력을 발생하는 바 신고의 방식은 혼인신고에 준한다(민903). 그 무효·취소의 사유·절차 등은 협의상의 이혼에 있어서와 같다."
"형벌불소급의 원칙 刑罰不遡及의 原則"|"행위시에 그 행위가 범죄로서 형벌이 과하여 지는 것이라고 정하여 있지 않을 경우에는 그 후에 정한 법률의 효력을 행위시까지 소급시켜서 행위자를 처벌할 수 없다는 원칙이다(헌12①). 죄벌법정주의의 하나의 중요한 적용이다. 이 원칙이 없으면 적법하다고 생각하고 행한 행위가 후에 새로 제정된 법률에 의하여 저촉되어 누구든지 안심하고 행위를 할 수 없다."
"형벌의 개별화 刑罰의 個別化 [독] Individualisierung der Strafe"|"형벌을 범인의 개성과 형벌적응능력에 알맞게 과하여야 한다는 주의. 주관주의 형법 이론의 중심사상이다. 형벌의 개별화는 입법·재판·행형의 3단계이면 가능하다. 입 법에 있어서는 구성요소의 불필요한 복잡화를 피함과 동시에 형의 양정의 표준을 범죄의 위험성에 두는 것이고, 재판에 있어서는 형사 피고인의 종류에 따라 형사절차를 개별화시키는 것이며, 행형에 있어서는 범인의 인격조사·분류를 기초로 하여 형의 집행 을 수형자의 개성에 적응시키는 것이다. 교육행형론은 형벌의 개별화에 의하여 일반예방과 특별예방을 종합한 것을 그 중심사상으로 하고 있다."
"형법 刑法 [독] Strafrecht"|"형법이란 용어는 대체로 세 가지로 사용되고 있다. (1)어떠한 행위가 범죄로 되며 그것에 어느 정도의 형벌을 과할 것이냐 하는 것을 정한 법률의 의미로 사용된다. [형법]이란 이름은 형벌을 정한 법률이란 의미로 붙여진 것임에 틀림없다. 우리나라에서 [형법]이라고 불리는 것도 독일에 있어서와 마찬가지 의미이다. 그러나 불란서나 영국 또는 미국에서는 형벌법이라는 의미로(Code penal：Penal Code 기타) 사용되고 있으나, 보통 &quot;범죄법&quot;이란 의미로(Droit Criminel：Criminal Law) 사용되고 있다. 전자는 주로 형식적인 법규란 이름으로 후자는 주로 실질적인 [형사법]과 같은 의미로 사용되는 것 같다. 이들의 명칭으로 보아도 알 수 있듯이 형법은 범죄와 형벌을 규정하고 있는 것이다. 이러한 의미에서는 모든 나라의 형법이나 고대의 [형법]도 형법이라 할 수 있다. (2)형식적 의미의 [형법]이란 동명이 붙여진 현행법률(법규)을 의미한다. 이러한 의미에서는 현재 우리나라의 육법전서 등에 게재되어 있는 [형법전]만을 의미한다. 우리 형법은 1953년 9월 18일에 제정되어 현재에 이르고 있다. (3)[형법]이라는 이름이 붙어 있지 않더라도 일체의 형벌을 정한 법령을 총칭하여 [형법]이라고 부르는 일이 있다. 이를 보통 실질적 의미의 형법이라 한다. 이러한 의미의 형법중에서 [형법]이라는 명칭을 가진 법률을 제외하고 부를 때에는 그것을 [특별법] 또는 [특별형법]이라고 하는 관례가 있다. [노동형법], [행정형법], [경제형법] 등은 모두 이 특별법의 분야를 의미한다. 형법은 공법에 속하고, 사법법·행정법·입법법 중 사법법에 속한다."
"형법상의 점유 刑法上의 占有 [독] Gewahrsam"|"형법상의 점유란 재물에 대하여 사실상의 지배를 하고 있는 상태를 말한다. 민법상의 점유(Besitz)가 규범적 개념임에 대하여 형법상의 점유는 사실상의 개념이다. 그러므로 민법상의 점유는 간접점유, 점유개정, 법인의 점유, 점유의 상속 등이 긍정되나 형법상의 점유에서는 인정되지 않는다. 그러나 점유보조자의 점유는 민법상의 점유에서는 부정되나 형법상의 점유에서는 인정된다. 형법상 점유의 요건으로서는 객관적·물리적요소와 주관적·정신적요소 및 사회적·규범적요소가 있다. 객관적·물리적 요소는 재물에 대해서 사실상 지배하고 있는 상태를 말하는데(점유사실) 이 상태는 사람과 재물·사이에 밀접한 장소적 관련성 또는 시간적·장소적 작용가능성 및 지배가 적법한 권원에 의한 것이 아닐지라도 사실상의 처분가능성이 있을 때 인정된다. 주관적·정신적 요소는 재물을 자기의 의사에 따라서 관리·지배하려는 사실상의 의사를 말하는데(점유의사) 이 의사의 내용은 사실상의 지배의사, 일반적 지배의사, 잠재적 지배의사이다. 사실상의 지배의사란 순수한 자연적·사실적인 처분의사를 의미하며 법적 처분권, 행위능력은 필요치 않다. 따라서 유아·정신병자에게도 점유가 인정된다. 일반적 지배의사란 특정재물에 대한 구체적 지배의사가 아니라 자기가 지배하는 장소 내에 존재하는 재물에 대한 포괄적 지배의사를 의미한다. 잠재적 지배의사는 현실적 지배의사를 요구하지 않고 잠재적 의사로도 충분하다는 의미이다. 따라서 숙면자·의식상실자에게도 점유가 인정된다. 그러나 사자는 잠재적으로도 지배의사를 가질 수 없으므로 점유가 부정된다. 사회적·규범적 요소는 점유가 점유사실과 점유의사만으로 결정되는 것이 아니라 거래계의 경험칙도 고려하여야 할 때 필요한 요소이다. 이 요소는 점유의 개념이 확대되는 경우와 점유의 개념이 축소되는 경우에 필요하다. 확대되는 경우는 정신적 점유가 인정될 때, 유치물·분실물에 대한 점유가 인정되는 경우이다. 형법상의 점유는 행위객체 및 행위주체로서 또한 보호객체로서 기능한다. 행위객체로서의 점유는 타인점유가 대상인 재산에 관한 죄의 성립요소로서 기능을 한다. 절도죄·강도죄·사기죄의 객체는 타인점유의 재물이다. 자기점유의 재물에 대해서는 횡령죄, 타인의 점유를 이탈한 재물에 대해서는 점유이탈물횡령죄가 성립한다. 이 경우 타인점유란 그 재물이 행위자의 단독점유에 속하지 않는 것을 말하며 이에는 타인의 단독점유와 행위자와 타인의 공동점유가 포함된다. 공동점유의 경우 대등관계에 의한 공동점유일 때는 점유의 타인성이 인정되나 상하관계에 의한 공동점유일 때는 구체적으로 파악해야 한다. 임치된 포장물의 점유인 경우는 학설이 나누어지나 다수설은 형식적 위탁관계와 실질적 위탁관계로 나누어 형식적인 경우 위탁자에게 점유를 인정하여 절도죄가 되고 실질적인 경우 수탁자에게 점유가 이전되므로 횡령죄가 성립한다고 본다. 그러나 판례는 포장물 전체에 대해서는 수탁자에게 점유가 이전되어 횡령죄가 되고 그 내용물에 대해서는 위탁자에게 점유가 유보되어 절도죄가 된다고 본다. 행위주체로서의 점유는 횡령죄에서 횡령죄의 주체, 성립요소, 범위를 결정하는 기능을 가진다. 횡령죄의 주체(신분요소)는 타인의 재물을 보관하는 자가 되며(타인소유, 자기점유) 이 점유는 배신성을 본질로 하는 횡령죄에서 위탁관계에 기초하여야 한다. 그리고 횡령죄에서 점유는 배타력이 아니라 남용의 위험이 있는 지배력에 그 중요성이 있기 때문에 사실적 지배이외에 법률적 지배도 포함한다. 보호객체로서의 점유는 권리행사방해죄의 보호법익으로서의 기능을 가진다. 이 경우 점유는 보호법익이 되기 때문에 적법한 권원에 의한 점유일 것을 요한다."
"형법상의 착오 刑法上의 錯誤"|"행위자의 주관적 관념과 객관적 실재와의 불일치를 말한다. 형법상 어떠한 착오가 있으면 고의를 조각하는가가 문제된다. 착오는 크게 나누어서 사실의 착오와 법률의 착오로 구별한다. (1)사실의 착오. 범죄사실에 관한 착오를 말한다. 그 중에서 착오가 객체의 성질에 관한 경우를 객체(목적)의 착오, 방법에 관한 경우를 방법의 착오(타격의 착오), 인과관계에 관한 경우를 인과관계의 착오라고 한다. 착오가 동일한 구성요건의 범위 내에 구체적 사실에 관해서이냐 또는 상이한 구성요건 사이에서냐에 따라 [구체적 사실의 착오]와 [추상적 사실의 착오]로 나누어진다. 어떠한 사실의 착오가 고의를 조각하느냐에 관한 학설로서 고의가 성립하기 위하여는 행위자가 인식한 바와 실제로 발생한 사실이 구체적으로 완전일치함을 요한다고 하는 구체적 부합설, 구성요건의 범위 내에서 인식과 사실이 일치하면 고의의 성립을 인정하는 법정적 부합설(구성요건적 부합설), 일정한 범의를 가지고 일정한 범죄결과만 발생시킨 이 상 결과에 대한 고의를 인정하여야 한다는 추상적 부합설이 있는데 법정적 부합설이 현재의 다수설이며 이론적으로도 타당하다. (2)법률의 착오. 행위가 법상 허용되지 않는 것을 모르거나 또는 허용된다고 오신하는 것. 따라서 법률의 착오는 위법성의 인식이 없는 경우이다. 현행형법은 법률의 착오에 관하여 16조에서 [자기의 행위가 법령에 의하여 죄가 되지 아니하는 것으로 오인한 행위는 그 오인에 정당한 이유가 있는 때에 한하여 벌하지 아니한다]라고 규정하고 있으므로 법률의 착오가 있어도(즉 위법성의 인식이 없어도) 그에 대한 적당한 이유가 없는 때에는 반드시 처벌해야 한다고 해석하고 있다. 그리고 종래의 학설에서는 착오를 사실의 착오와 법률의 착오로 나누는 것이 보통이었으나, 최근에는 이와 같은 학설의 태도가 부정확하다고 하여 사실의 착오를 [구성요건적 착오], 법률의 착오를 [금지의 착오] 또는 [위법성의 착오]라고 불러야 한다는 주장이 유력해지고 있다."
"형사범 刑事犯"|"법률에 명문규정이 없더라도 일정한 행위 그 자체가 반도덕적으로 평가되는 범죄이다. [살인하지 말라. 간음하지 말라. 절도하지 말라]고 하는 것은 구약성서에 나오는 신의 십계율이다. [살인죄]라는 형법의 조문을 알지 못했더라도, 사람을 살해해서는 안된다는 도덕률은 명백하다. 이와 같이 법률상 명문규정을 두지 않았더라도 도덕상 시인할 수 없는 악한 행위를 내용으로 하는 범죄를 [자연범] 또는 [형사범]이라 한다. 자연범에 있어서는 [그와 같은 법률이 있음을 알지 못했다]고 하는 변명은 통용될 수 없다."
"형사법 刑事法"|"국가형벌권의 행사를 규율하고 있는 법규의 총칭. 형법과 그 외의 각종 처벌법규 등 실체법은 물론, 형사재판의 절차를 규율하는 형사소송법과 법원조직법·검찰청법 등 절차법 모두를 포함한다. 그리고 형집행·수형자교화에 관한 행형법, 소년사건에 대한 특별법인 소년법, 국가보안법·경범죄처벌법 ·부정수표단속법·윤락행위등방지법·즉결심판에관한절차법·벌금등임시조치법·조세범처벌법·관세법 기타 많은 행정법 등이 포함된다."
"형사보상법 刑事補償法"|"헌법 28조의 [형사피의자 또는 형사피고인으로서 구금되었던 자가 법률이 정하는 불기소처분을 받거나 무죄판결을 받은 때에는 법률이 정하는 바에 의하여 국가에 정당한 보상을 청구할 수 있다]라는 규정에 의거하여 그 요건·절차를 규정한 법률로서 1958년 제정(법률 제494호)되었다. 보상은 불기소처분 또는 무죄의 재판을 받은 자 또는 면소 혹은 공소기각의 재판을 받았으되 만일 면소 또는 공소기각의 재판을 행할 사유가 없으면 무죄의 재판을 받을 것이라는 충분한 이유가 있는 자가 미결의 구금을 당했을 때, 또는 형의 집행 혹은 사형을 위한 구금을 당했을 때 행하여진다. 그러나 심신장애의 사유로 무죄를 받았거나, 본인이 수사나 심판을 그르칠 목적으로 허위자백, 증거조작 등을 하여 유죄판결을 받았을 때 및 병합죄의 일부에 대하여 무죄재판을 받았으나 다른 부분에 대하여는 유죄의 재판을 받았을 때에는 법원의 합리적인 재량으로 보상의 일부 또는 전부를 하지 않을 수 있다"
"형사사회학파 刑事社會學派 [독] Kriminalsoziologische schule"|"범죄의 원인을 주로 사회적 요소에 구하려는 학파. 페리 및 리스트의 학파를 가리킨다. 혹은 페리는 실증학파로 따로 분류하고, 리스트학파만을 가리키기도 한다. 그 기관으로서 국제형사학협회가 있다."
"형사소송법 刑事訴訟法"|"1954. 9. 23 법률 제341호로 제정된 형법의 절차법 즉 형사소송절차를 규정한 법률을 말한다. 종래 우리 나라는 (1)일본의 구형사소송법을 조선형사령에 의하여 의용하였으나, (2)해방 후 군정법령 제176호로 형사소송법을 개정하여, 당사자주의소송절차를 도입하였고, (3)1954. 9. 23 법률 제341호로 현행 형사소송법을 제정·공포하였다. 이후 (4)1961. 9. 1 법률 제705호에 의한 1차개정으로 영미식의 교호신문제도를 도입하고, 항소심을 사후심으로 하였고, (5)1963. 12. 13 법률 제1500호에 의한 2차개정에서는 공소를 항소로 개정하고, 단독판사사건이나 합의부사건을 막론하고 대법원을 종심으로 하였고, (6)1973. 1. 25 법률 제2450호에 의한 3차개정에서는 신체구속적부심사제도를 폐지하고, 간이공판절차를 신설하였다. 이후 (7)1973. 12. 20 법률 제2653호에 의한 4차개정을 거쳐, (8)1980. 12. 18 법률 제3282호에 의한 5차개정에서는 구속의 적부심사제도를 다시 규정함으로써 인신구속의 신중을 기하였다. 또 근자에 들어 (9)1997. 12. 13 법률 제5435호에 의한 8차개정 이후 오늘에 이르고 있다. 5편 전문 493조와 부칙으로 되어 있다."
"형사소송절차 刑事訴訟節次 [영] minal procedure"|"근대국가는 어떠한 행위가 범죄로 되며 또 그 범죄에 대하여 어떠한 형벌을 과할 것인가를 반드시 명확하게 법률로써 규정하고 있다(죄형법정주의). 그러나 현실적으로 과연 범죄가 있느냐 없느냐 또는 그 범죄를 어떻게 처벌해야 할 것인가는 공평한 법원의 재판을 통하지 않으면 구체적으로 확정할 수 없고 또 공평한 법원의 재판에 의하여서만 비로소 처벌할 수 있다. 이 형사재판의 절차를 형사소송이라 하고, 형사소송절차를 어떻게 정할 것인가는 형사소송법에 규정되어 있다. 즉, 검사의 공소의 제기로 부터 재판의 확정에 이르기 까지의 일련의 절차를 말한다. 형사재판에 있어서는 범죄가 있는 경우에는 반드시 범인을 발견하여 처벌하여야 한다는 요구(실체적 진실발견주의)와 범죄의 혐의를 받고 재판에 회부된 자에 대해서는 그의 인권을 충분히 보장하여야 한다는 요구가 서로 대립되어 있다. 이와 같이 대립된 이해를 어떻게 조화할 것인가는 역사적인 배경에 따라서 여러가지 표현방법을 달리한다. 현행 형사소송법은 영미법의 강한 영향을 받아 제정되었고 또 종래의 인권경시의 비극을 경험하였기 때문에 인권보장에 보다 큰 비중을 두고 있다."
"형사인류학파 刑事人類學派 [독]  kriminalanthropologische Schule"|"이탈리아학파의 중심을 이루고 있는 학파의 하나로서 롬브로조의 범죄인형론 및 격세유전설 등을 계승한 학파이다. 범죄원인을 주로 인류학적 요소 속에 구하는 점에 그 특색이 있다. 그 기관으로 국제형사인류학회의가 있다."
"형사정책 형사정책 [영] criminal policy [독] Kriminalpolitik"|"넓은 뜻으로는 범죄의 원인을 탐구하여 그것에 바탕을 두고 범죄를 예방 또는 근절시킬 대책을 강구하는 것을 말한다. 이 뜻에서는 일체의 범죄대책, 특히 사회정책, 교육정책 등도 형사정책에 포함된다. 좁은 뜻으로는 범죄를 직접목적으로 하는 현존의 제도를 비판하고 이를 개량, 보충할 방책을 세우는 것을 말한다."
"형사책임 刑事責任"|"형벌이라는 법률효과를 과하기 위한 책임. 자유의사를 전제로 하여 윤리적 비난을 가할 수 있다는 뜻에서의 도의적 책임이나 또는 범죄는 필연현상이긴 하나 사회에 대하여 유해한 행위를 한 자는 사회측에서 행하는 방위처분을 감수하지 않으면 안된다는 의미에서의 사회적 책임이냐에 관하여 논쟁이 있다."
"형사책임 刑事責任 [영] criminal liability"|"민사책임(Zivilrechtliche Verantwortlichkeit)이란 민법상의 책임, 특히 불법행위에 의한 책임을 말하고, 형사책임이란 형법상의 책임을 말한다. 불법행위는 법이 용납하지 않는 행위이므로 불법행위를 한 자는 피해자에 대하여 손해배상책임을 지게 된다. 형사책임(Kriminalrechtliche Verantwortlichkeit)은 범죄행위를 한 자가 지게 되는데 이에는 형벌이 과하여진다. 형벌이 과하여지는 것을 형사책임을 진다고 말한다. 타인을 상해하였을 경우에는 민사책임과 형사책임의 두 가지가 발생하게 되는데, 민사책임은 피해자가 법원에 소를 제기하여 승소판결을 받아야만 비로소 가해자는 민사책임을 강제 당하게 되며, 피해자의 제소가 없는데 법원이 직권으로 손해배상을 명할 수는 없다. 이에 반하여 형사책임은 피해자의 고소가 없어도 국가가 형벌을 과할 수 있다는 점에 특색이 있다. 그러나 행위자가 형사책임을 지지 않고 민사책임만을 지는 경우가 있는데, 예를 들면 과실에 의하여 남의 집 창문을 부수었을 경우에는 민사책임만을 지게 된다. 왜냐하면 형법은 과실에 의한 재물손괴를 처벌하지 않기 때문이다. 민사책임은 개인에 대한 책임인데 반하여 형사책임은 국가에 대한 책임이다."
"형사학 刑事學 [영] Criminology [독] Kriminologie"|"형사학이란 말은 처음 가로팔로에 의하여 사용되었다고 한다. 형사학은 법률 및 형벌에 관한 사실의 학이다. 이 경우에 범죄의 발생원인을 연구하는 범죄학 및 범죄의 대책을 연구하는 형벌학의 양자를 포함하므로 형사정책학, 행형학도 이것에 포함된다. 그 대상인 범죄 및 형벌은 문화적 현상이므로 형사학은 자연과학에도 상통한다. 형사학은 19세기 초두에 있어서의 통계학의 발달에 자극되어 처음에는 통계학 중의 이른바 도덕통계의 부분으로서 발달하여 그 후 롬브로조에 의하여 범죄인류학으로서 그 기초가 이룩되고 뒤이어 페리·가로팔로·탈드·리스트 등에 의하여 저마다의 입장에서 체계화되었다. 좁은 뜻의 범죄학은 다시 범죄현상론·범죄원인론으로 분류되는 바 범죄원인론은 범죄원인의 성질과 연구방법에 의하여 범죄생물학·범죄심리학·범죄정신병학·범죄사회학 등으로 분화되어 있다. 그 근본문제는 범죄의 소질 또는 환경에 있는데 최근의 범죄원인론은 양자의 결합상태를 밝히는 것을 그 목적으로 한다."
"형성권 形成權 [독] Gestaltungsrecht"|"이미 체결된 계약관계를 당사자 일방적 의사표시만으로 소멸하게 할 수 있는 해제권. 혼인외 출생자의 인지청구권 등과 같이 권리자의 일방적 의사표시에 의하여 일정한 권리 또는 법률관계의 발생, 변경, 소멸을 가져오게 하는 권리를 말한다. 권리를 그 작용에서 분류했을 경우의 일종으로서 지배권, 청구권에 대하는 개념이다. 형성권 가운데는 채권자취소권이나 혼인취소청구권과 같이 소송의 형식을 밟지 않고서는 행사할 수 없는 것(재판상의 형성권)도 있지만, 일반형성권 예컨대, 취소권, 해제권, 상계권, 환매권과 같이 상대방에 대한 의사표시로써 권리 관계를 변동케 하는 효력을 발생하게 하는 것도 있다."
"형성력 形成力 [독]  Gestaltungswirkung"|"형성판결의 확정에 의하여 법률관계의 발생·변경·소멸을 일으키는 효력. 주식회사의 주주총회 소집방법이 법령이나 정관에 위반되었을 때 그 의결을 취소하는 형성판결에 의하여 비로소 취소가 되는데 이 판결이 가지는 결의취소의 효력이 형성판결의 형성력이다. 형성판결의 형성력은 직접 소송당사자에게 한하지 않고 일반 제3자에게도 미치는 것이 특색이다. 이는 법률관계의 변동을 명확·획일적으로 하지 않으면 소의 목적을 달성할 수 없고, 혼란이 생기기 때문에 특수한 기판력의 확장이 인정되는 것이다."
"형성의 소 形成의 訴 [독] Gestaltungsklage, Rechtsanderungsklage"|"[원고와 피고는 이혼한다]라는 판결이 확정되면 지금까지 부부였던 원고와 피고간에는 이혼이라는 효과가 형성된다. 따라서 원고 A가 피고 B와 이혼하고 싶으나 B가 이혼에 동의하지 않는 경우에, A측에 이혼하여야 할 정당한 원인이 있으면(민840), A는 B를 상대로 하여 이혼소송을 제기하게 되는데 이와 같은 소를 형성의 소라고 한다. B주식회사의 주주총회가 위법으로 소집되어 위법한 결의가 행하여진 경우(상376)에 주주인 A는 B주식회사를 상대로 하여 [피고인 B주식회사의 1974년 10월 10일자 주주총회결의를 취소함]이라는 판결을 구하여 소를 제기할 수가 있다. 이 소에 대하여 […결의를 취소함]이란 판결이 내려져서 확정되면 지금까지 유효하게 존재하던 주주총회결의는 효력을 잃게 된다. 이 소도 또한 형성의 소이다. 그 밖에 A세무서가 잘못하여 전혀 소득이 없는 B에게 소득세를 과한 경우에 B는 [피고 A세무서의 원고 B에 대한 몇월 며칠의 과세처분을 취소함]이란 판결을 구하는 소를 제기할 수 있다. 이것도 취소판결에 의하여 비로소 과세처분의 효력이 취소된다고 하는 효과가 형성되므로 형성판결이다(실질상 무효확인인 경우가 많다). 또한 공유물분할(민269)의 소, 토지경계 확정의 소, 지상권의 존속기간이나 지대(민281·366)를 정하는 소, 부를 결정(민845)하는 소 등은 판결의 내용이 법원의 재량에 맡겨져 있어서, 어떻게 그 경계선을 그을 것이냐 하는 요건이 법으로 정해져 있지 아니하므로 이것을 형식적 형성소송이라고 한다. 승패의 문제가 생기지 않고 언제나 형성판결이 내려지는 점에서 보통 형성의 소와는 성질상 다르다."
"형성행위 形成行爲 [독]  konstitutiver Akt"|"권리·권리능력 또는 포괄적 법률관계를 설정하거나 변경·소멸시키는 행위. 행정청이 하는 구체적 형성행위(예：공무원의 임명, 공법인의 설립, 공기업의 특허 등)를 특히 형성처분이라고 한다. 사법상의 형성권을 행사하는 행위, 소송법상의 형성판결도 일종의 형성행위이다."
"형식적 확정력 形式的 確定力 [독] formelle Rechtskraft"|"종국판결에 대하여 일반의 불복신청방법인 상소를 할 수 없게 되어 그 종국판결이 상급법원에 의하여 취소될 가능성이 없게 된 상태를 말한다. 종국판결에 대해서 당사자가 상소하게 되면 상급법원은 이에 의하여 심리하고, 이것을 취소할 수가 있으나, 이것은 당사자의 불복신청이 있는 경우에 한하는 것이므로 당사자에게 일반적으로 인정되어 있는 불복신청의 방법이 없어진다면 그 판결은 이미 이러한 소송절차에 의해서는 취소할 수 없게 된다. 이러한 취소불가능성을 형식적 확정력이라 한다. 그리하여 판결이 이와 같은 형식적 확정력을 갖고 있는 경우에 판결은 확정된다고 말하고, 이 판결을 특히 확정판결이라 한다. 판결의 내용에 의한 효력으로서의 기판력·집행력·형성력은 이러한 형식적 확정력을 전제로 하여 생기는 것이다. 형식적 확정력이 생기는 시기는 (1)상소를 허용하지 않는 판결인 상고심판결 또는 당사자가 상소하지 않기로 합의한 때의 하급심판결(민소360①단)은 선고와 동시에 확정된다. (2)상소할 수 있는 판결은 상소할 수 없게 되었을 때에 확정된다. 그 예를 분열하면 다음과 같다. ⓐ당사자의 쌍방이 상소기간을 도과하였을 때에는 그 기간 만료시에 확정된다(민소366·395). 그러나 상소가 있더라도 상소기간 경과후에 취하하거나, 또는 상소가 부적합이라 하여 기각된 때에는 상소기간 만료시에 소급하여 확정된다. ⓑ당사자의 쌍방이 상소권을 포기한 때에(민소364·365③·395). 상소제기 후에 포기한 때에는 상소 기간만료시로 소급하여 확정된다. ⓒ상소제기기간중에 상소가 제기되면 판결확정이 차단되므로, 상소기각판결이 확정된 때에 확정된다(민소384·395)."
"형식적 확정력의 배제 形式的 確定力의 排除"|"종국판결이 환송 또는 이송판결이 아니면 그 확정으로 소송은 종료되지만, 다음의 경우에는 확정력이 배제되고 소송은 부활한다. (1)소송행위의 추완, 불변기간의 도과(민소358④·366②·395·414②), 소의 의제취하(민소241②)의 경우가 당사자의 책임질 수 없는 사유로 인한 때에는 당사자는 사유가 그친 때부터 2주일 내에 해태된 소송행위를 추완하거나 기일지정신청을 할 수 있다(민소160·241③). 소송행위의 추완신청이나 기일지정신청이 있다고 하여 당연히 그 전의 소송행위로 부활되는 것은 아니다. 소송행위의 해태나 소의 취하로 말미암은 형식적 확정력에 의한 강제집행을 면하기 위해서는 당사자는 재심의 소를 제기한 경우에 준하여 집행정지의 가처분을 받을 수 있다(민소473). (2)재심이유가 있을 때에는 당사자는 소의 방법으로 재심을 제기한다(민소422 이하). 이 재심의 소가 이유있으면 판결의 기속력은 없어지고 소송은 부활한다."
"형의 감경 刑의 減輕"|"형벌을 감해 주는 것으로서 법률상 감경과 작량감경이 있다. 작량감경은 범죄의 정상에 참작할 만한 사유가 있는 경우에 그 정상을 참작하여 형을 감경하는 것이다(형53). 이에 반해 법률상의 감경은 법률규정에 의해 형을 감경하는 것으로 (1)사형을 감경할 때에는 무기 또는 10년 이상의 징역 또는 금고로, (2)무기징역 또는 무기금고를 감경할 때에는 7년 이상의 징역 또는 금고로, (3)유기징역 또는 유기금고를 감경 할 때에는 그 형기의 2분의 1로, (4)자격상실을 감경할 때에는 7년 이상의 자격정지로, (5)자격정지를 감경할 때에는 그 형기의 2분의 1로, (6)벌금을 감경할 때에는 그 다액의 2분의 1로, (7)구류를 감경할 때에는 그 장기의 2분의 1로, (8)과료를 감경할 때에는 그 다액의 2분의 1로 한다(형55①). 또한 법률상 감경할 사유가 수개 있는 때에는 거듭 감경할 수 있다(형55②)."
